lat_long,city,lat,long
26.0:-80.0,3,26,-80
27.0:-80.0,1,27,-80
27.0:-82.0,2,27,-82
28.0:-81.0,2,28,-81
28.0:-82.0,1,28,-82
28.0:-83.0,2,28,-83
29.0:-81.0,1,29,-81
29.0:-82.0,1,29,-82
29.0:-98.0,1,29,-98
30.0:-82.0,2,30,-82
30.0:-86.0,1,30,-86
30.0:-95.0,1,30,-95
30.0:-96.0,1,30,-96
31.0:-88.0,2,31,-88
32.0:-111.0,3,32,-11
32.0:-81.0,3,32,-81
33.0:-112.0,1,33,-11
33.0:-117.0,2,33,-11
33.0:-84.0,2,33,-84
33.0:-97.0,3,33,-97
34.0:-117.0,2,34,-11
34.0:-118.0,4,34,-11
34.0:-78.0,1,34,-78
34.0:-79.0,1,34,-79
34.0:-84.0,4,34,-84
34.0:-85.0,2,34,-85
34.0:-87.0,1,34,-87
34.0:-90.0,1,34,-90
35.0:-112.0,1,35,-11
35.0:-117.0,1,35,-11
35.0:-81.0,2,35,-81
35.0:-82.0,1,35,-82
35.0:-83.0,1,35,-83
35.0:-87.0,2,35,-87
35.0:-92.0,1,35,-92
35.0:-98.0,1,35,-98
36.0:-115.0,1,36,-11
36.0:-80.0,1,36,-80
36.0:-81.0,1,36,-81
36.0:-82.0,2,36,-82
36.0:-84.0,1,36,-84
36.0:-90.0,1,36,-90
36.0:-94.0,1,36,-94
37.0:-122.0,3,37,-12
37.0:-79.0,1,37,-79
37.0:-84.0,2,37,-84
37.0:-89.0,1,37,-89
38.0:-121.0,1,38,-12
38.0:-122.0,1,38,-12
38.0:-123.0,2,38,-12
38.0:-77.0,1,38,-77
38.0:-78.0,1,38,-78
38.0:-81.0,1,38,-81
38.0:-83.0,1,38,-83
38.0:-85.0,1,38,-85
38.0:-86.0,5,38,-86
38.0:-87.0,1,38,-87
38.0:-88.0,2,38,-88
38.0:-97.0,1,38,-97
38.0:-99.0,1,38,-99
39.0:-123.0,1,39,-12
39.0:-75.0,1,39,-75
39.0:-77.0,4,39,-77
39.0:-78.0,2,39,-78
39.0:-82.0,1,39,-82
39.0:-83.0,2,39,-83
39.0:-85.0,2,39,-85
39.0:-90.0,2,39,-90
39.0:-91.0,2,39,-91
39.0:-92.0,1,39,-92
39.0:-94.0,1,39,-94
39.0:-98.0,1,39,-98
40.0:-105.0,9,40,-10
40.0:-75.0,1,40,-75
40.0:-76.0,4,40,-76
40.0:-78.0,1,40,-78
40.0:-79.0,2,40,-79
40.0:-80.0,1,40,-80
40.0:-83.0,3,40,-83
40.0:-84.0,2,40,-84
40.0:-85.0,1,40,-85
40.0:-86.0,2,40,-86
41.0:-73.0,1,41,-73
41.0:-74.0,5,41,-74
41.0:-75.0,2,41,-75
41.0:-78.0,1,41,-78
41.0:-79.0,1,41,-79
41.0:-80.0,1,41,-80
41.0:-81.0,3,41,-81
41.0:-82.0,1,41,-82
41.0:-83.0,1,41,-83
41.0:-85.0,1,41,-85
42.0:-73.0,2,42,-73
42.0:-80.0,1,42,-80
42.0:-83.0,3,42,-83
42.0:-86.0,2,42,-86
42.0:-87.0,2,42,-87
42.0:-88.0,6,42,-88
42.0:-91.0,1,42,-91
42.0:-94.0,1,42,-94
43.0:-74.0,1,43,-74
43.0:-79.0,2,43,-79
43.0:-82.0,1,43,-82
43.0:-83.0,1,43,-83
43.0:-84.0,1,43,-84
43.0:-86.0,1,43,-86
43.0:-88.0,2,43,-88
43.0:-91.0,1,43,-91
44.0:-117.0,1,44,-11
44.0:-72.0,1,44,-72
44.0:-76.0,1,44,-76
44.0:-97.0,1,44,-97
45.0:-93.0,5,45,-93
46.0:-119.0,1,46,-11
46.0:-123.0,2,46,-12
47.0:-122.0,3,47,-12
48.0:-118.0,1,48,-11
48.0:-122.0,13,48,-12
48.0:-123.0,2,48,-12
49.0:-110.0,1,49,-11
49.0:-122.0,1,49,-12
49.0:-123.0,1,49,-12
